,Unnamed: 0,text,favorite_count,retweet_count,created_at,source,retweets,favorites,Hour_of_tweet,Date,Is_retweet
0,0,"96% Approval Rating in the Republican Party. Thank you! Also, just out, highest ever Approval Rating overall in the new Gallup Poll, and shows “Trump beating Sleepy Joe Biden.”",47885,9174,2020-05-02 13:17:42,Twitter for iPhone,9174,47885,13,2020-05-02,Tweet
1,1,"There is tremendous CoronaVirus testing capacity in Washington for the Senators returning to Capital Hill on Monday. Likewise the House, which should return but isn’t because of Crazy Nancy P. The 5 minute Abbott Test will be used. Please inform Dr. Brian P. Monahan. @MarkMeadows",25323,6934,2020-05-02 13:06:53,Twitter for iPhone,6934,25323,13,2020-05-02,Tweet
2,2,https://t.co/UIazMAipNa,38472,10288,2020-05-02 03:42:15,Twitter for iPhone,10288,38472,03,2020-05-02,Tweet
3,3,"RT @LouDobbs: Stunning Silence: @KimStrassel says when it comes to sexual assault allegations against Joe Biden, it’s as if the “Me Too” mo…",0,11991,2020-05-01 23:38:59,Twitter for iPhone,11991,0,23,2020-05-01,Re-tweet
4,4,"RT @KimStrassel: The FBI knew Michael Flynn wasn’t colluding with Russia, so it plotted to ‘get him to lie.’ New documents reveal that, by…",0,13415,2020-05-01 23:38:19,Twitter for iPhone,13415,0,23,2020-05-01,Re-tweet
5,5,Don’t allow RIGGED ELECTIONS! https://t.co/DeZ5B3TEv5,92121,29030,2020-05-01 23:36:20,Twitter for iPhone,29030,92121,23,2020-05-01,Tweet
6,6,RT @GovRonDeSantis: Thank you Dr. Lockwood and medical staff at @TGHCares for your contributions and perspective on Florida‘s fight against…,0,3835,2020-05-01 23:32:05,Twitter for iPhone,3835,0,23,2020-05-01,Re-tweet
7,7,RT @ScottGottliebMD: Positivity rates for covid19 testing nationally are starting to decline as testing expands sharply and we move more te…,0,4182,2020-05-01 23:30:01,Twitter for iPhone,4182,0,23,2020-05-01,Re-tweet
8,8,"RT @CDCgov: If you must travel, take these steps to protect yourself &amp; others from #COVID19 during your trip. https://t.co/6cRDaMnVUV https…",0,2906,2020-05-01 23:28:32,Twitter for iPhone,2906,0,23,2020-05-01,Re-tweet
9,9,RT @ScottGottliebMD: A big win for patients and the first building block in what will be an improving toolbox for reducing death and diseas…,0,3690,2020-05-01 23:28:16,Twitter for iPhone,3690,0,23,2020-05-01,Re-tweet
10,10,https://t.co/wPqRmK8HeA,34781,9259,2020-05-01 22:52:26,Twitter for iPhone,9259,34781,22,2020-05-01,Tweet
11,11,https://t.co/iO6O7AkVqJ,35373,8888,2020-05-01 22:51:25,Twitter for iPhone,8888,35373,22,2020-05-01,Tweet
12,12,"RT @WhiteHouse: President @realDonaldTrump honored several individuals today who have responded to this invisible enemy with courage, deter…",0,6442,2020-05-01 22:51:07,Twitter for iPhone,6442,0,22,2020-05-01,Re-tweet
13,13,RT @FDNY: FDNY members show their appreciation for 100 @FEMA National Ambulance Contract units as they deploy back home after 30 days spent…,0,4616,2020-05-01 21:57:23,Twitter for iPhone,4616,0,21,2020-05-01,Re-tweet
14,14,"RT @AFThunderbirds: Tomorrow's #AmericaStrong flyover serves as a salute to frontline #COVID responders.

#InThisTogether 🇺🇸 https://t.co/l…",0,5228,2020-05-01 21:54:57,Twitter for iPhone,5228,0,21,2020-05-01,Re-tweet
15,15,RT @WhiteHouse: LIVE: President @realDonaldTrump at Presidential Recognition Ceremony https://t.co/5ntEJgoV7E,0,5562,2020-05-01 21:54:37,Twitter for iPhone,5562,0,21,2020-05-01,Re-tweet
16,16,https://t.co/EyDbvD3UnX,80117,20408,2020-05-01 20:44:07,Twitter for iPhone,20408,80117,20,2020-05-01,Tweet
17,17,....Together we will Fight for Small Businesses and Protect American Energy workers! Shelley has my Complete and Total Endorsement! https://t.co/EgXUg5S4hj,21982,5722,2020-05-01 20:05:58,Twitter for iPhone,5722,21982,20,2020-05-01,Tweet
18,18,"Senator Shelley Moore Capito (@CapitoforWV) is doing a tremendous job for the great people of West Virginia! She strongly defends our Second Amendment, Supports our Veterans and is Strong on Life and the Border....",44222,10691,2020-05-01 20:05:58,Twitter for iPhone,10691,44222,20,2020-05-01,Tweet
19,19,Concast (@NBCNews) and Fake News @CNN are going out of their way to say GREAT things about China. They are Chinese puppets who want to do business there. They use USA airwaves to help China. The Enemy of the People!,139194,38814,2020-05-01 15:27:29,Twitter for iPhone,38814,139194,15,2020-05-01,Tweet
20,20,"RT @StevenTDennis: Trump gets bump in latest Gallup Poll:
49% approval (+6, tied for his best)
47% disapproval (-7)",0,12182,2020-05-01 13:37:39,Twitter for iPhone,12182,0,13,2020-05-01,Re-tweet
21,21,"The Governor of Michigan should give a little, and put out the fire. These are very good people, but they are angry. They want their lives back again, safely! See them, talk to them, make a deal.",193069,38620,2020-05-01 12:42:23,Twitter for iPhone,38620,193069,12,2020-05-01,Tweet
22,22,"Cryin Chuck Schumer, compared to what other Senators have brought home to their states, has brought very little back to N.Y. A totally overrated loser, the one thing he has given them is SALT. He never even called me to stop it. No wonder Cuomo &amp; most others can’t stand him. AOC!",86157,20411,2020-05-01 12:14:36,Twitter for iPhone,20411,86157,12,2020-05-01,Tweet
23,23,"Cryin’ Chuck Schumer was on a late night show using a false talking point over &amp; over again. “We don’t have enough testing ,” he would repeat, when he knows we have done a great job on Testing, just like we have on Ventilators and everything else. He lied, gave NY SALT. Run AOC!",104266,24441,2020-05-01 12:07:51,Twitter for iPhone,24441,104266,12,2020-05-01,Tweet
24,24,RT @TeamTrump: President @realDonaldTrump: “We’ve spent 8 trillion dollars in the Middle East and we’re not fixing our roads.” https://t.co…,0,12017,2020-05-01 11:56:52,Twitter for iPhone,12017,0,11,2020-05-01,Re-tweet
25,25,"RT @Mike_Pence: Under President @realDonaldTrump’s leadership, we gave @GM and @MyVOCSN the authority under the Defense Production Act to i…",0,5340,2020-05-01 11:56:16,Twitter for iPhone,5340,0,11,2020-05-01,Re-tweet
26,26,Dirty Cop! https://t.co/xrB4PYTV0J,78880,18851,2020-05-01 11:55:42,Twitter for iPhone,18851,78880,11,2020-05-01,Tweet
27,27,"RT @Mike_Pence: Since the first days of this pandemic, President @realDonaldTrump has brought a whole of America response &amp; we’re making gr…",0,6449,2020-05-01 11:54:40,Twitter for iPhone,6449,0,11,2020-05-01,Re-tweet
28,28,"I have done more for farmers and ranchers than any President in history, and it has been my honor in doing so! https://t.co/YcCznszW7P",66095,15025,2020-05-01 11:54:13,Twitter for iPhone,15025,66095,11,2020-05-01,Tweet
29,29,"RT @WhiteHouse: President @realDonaldTrump is using the Defense Production Act to ensure that Americans have a reliable supply of beef, por…",0,7509,2020-05-01 11:51:54,Twitter for iPhone,7509,0,11,2020-05-01,Re-tweet
30,30,RT @GOPChairwoman: Our supporters are working hard every day and getting the message out about @realDonaldTrump’s leadership. We’re going t…,0,6930,2020-05-01 11:51:14,Twitter for iPhone,6930,0,11,2020-05-01,Re-tweet
31,31,"RT @hughhewitt: The always careful ⁦@EliLake⁩ is even more cautious here, but he and ⁦@AndrewCMcCarthy⁩ are pointing in the same direction…",0,6669,2020-05-01 04:36:58,Twitter for iPhone,6669,0,04,2020-05-01,Re-tweet
32,32,RT @SenTomCotton: The CCP’s Military-Civil Fusion strategy blurs the distinction between Chinese military &amp; civilian end-users. I commend t…,0,8129,2020-05-01 01:46:47,Twitter for iPhone,8129,0,01,2020-05-01,Re-tweet
33,33,"RT @RichLowry: Tremendous work by @FreeBeacon 

While the rest of the media was credulous and lazy about this case, it dug in with real rep…",0,6113,2020-05-01 01:45:56,Twitter for iPhone,6113,0,01,2020-05-01,Re-tweet
34,34,RT @AndrewCMcCarthy: Something seems rotten in Flynn's case — my column@thehill @TheHillOpinion ... https://t.co/WSYBDbzCPy,0,8973,2020-05-01 01:01:44,Twitter for iPhone,8973,0,01,2020-05-01,Re-tweet
35,35,"RT @BuckSexton: .@BarackObama is Ultimately Responsible for @FBI’s Dirty Investigation into @GenFlynn

https://t.co/s104xwGwRS",0,18867,2020-05-01 00:55:36,Twitter for iPhone,18867,0,00,2020-05-01,Re-tweet
36,36,“The only thing we got wrong is that it was even worse (the corruption) than we thought.” @Jim_Jordan  DIRTY COPS!,152883,37392,2020-05-01 00:54:46,Twitter for iPhone,37392,152883,00,2020-05-01,Tweet
37,37,"RT @ChuckGrassley: New DOJ/Flynn docs are stamped w SCO as in Special Counsels Office
 
Did Mueller have these docs? Why did his team sit o…",0,21012,2020-05-01 00:44:41,Twitter for iPhone,21012,0,00,2020-05-01,Re-tweet
