Tweet,favorite_count,Retweet_count,Created_at,Source,Retweets,Favorites,Hour_of_tweet,Date,Is_retweet,,
Thank you Michael. You also! https://t.co/VFi6Nhj3zG,20443,5788,2020-05-02 17:02:15,Twitter for iPhone,5788,20443,17,2020-05-02,Tweet,,
"RT @TrumpWarRoom: The FBI found ""no derogatory information"" about @GenFlynn. But they decided to crush him anyway.

""There is nothing worse…",0,6294,2020-05-02 16:57:01,Twitter for iPhone,6294,0,16,2020-05-02,Re-tweet,,
The Russia Hoax is the biggest political scandal in American history. Treason!!! Lets see how it ends???? https://t.co/VRsVdiQrsf,43583,15554,2020-05-02 16:56:46,Twitter for iPhone,15554,43583,16,2020-05-02,Tweet,,
RT @ScottAdamsSays: Join me for a quick laugh about the funniest Trump kill shot on Biden. Ever.🤣🤣🤣🤣🤣🤣 https://t.co/xn6U5w5iZe,0,2109,2020-05-02 16:49:25,Twitter for iPhone,2109,0,16,2020-05-02,Re-tweet,,
RT @ScottAdamsSays: This kill shot is so perfectly executed it is painful to watch . . . and still funny. 🤣🤣🤣,0,1714,2020-05-02 16:49:20,Twitter for iPhone,1714,0,16,2020-05-02,Re-tweet,,
RT @ScottAdamsSays: Poll for Democrats only. Are you aware that most of the political news you consume is either misleading and out of cont…,0,1707,2020-05-02 16:44:25,Twitter for iPhone,1707,0,16,2020-05-02,Re-tweet,,
RT @ScottAdamsSays: Greg Gutfeld on Biden response to Tara Reade claims: He 'was doing great in that interview until he confessed' https://…,0,2634,2020-05-02 16:42:04,Twitter for iPhone,2634,0,16,2020-05-02,Re-tweet,,
"RT @ndrewkellyborel: @JackPosobiec It's an absolute disgrace what they've done to @GenFlynn and his family.

This is one of the most highly…",0,4779,2020-05-02 14:31:12,Twitter for iPhone,4779,0,14,2020-05-02,Re-tweet,,
"RT @LJ4_All: @thejtlewis @realDonaldTrump Why does MSM ignore this???

Why do people ignore that he doesn't care about the #American worker…",0,5795,2020-05-02 14:29:36,Twitter for iPhone,5795,0,14,2020-05-02,Re-tweet,,
RT @thejtlewis: @realDonaldTrump Sleepy Joe fell asleep during his last town hall! https://t.co/PTAdesPUk5,0,4143,2020-05-02 14:29:14,Twitter for iPhone,4143,0,14,2020-05-02,Re-tweet,,
Thank you! https://t.co/LSGA6Tg0zk,67270,12063,2020-05-02 14:21:02,Twitter for iPhone,12063,67270,14,2020-05-02,Tweet,,
"RT @DeAnna4Congress: @realDonaldTrump At this rate, if you don't support Trump and you're a Republican you've gone entirely mad.",0,4892,2020-05-02 14:20:28,Twitter for iPhone,4892,0,14,2020-05-02,Re-tweet,,
"RT @SexCounseling: @realDonaldTrump All of the Democrats stick together, that's a lesson that the Republican party needs to learn, support…",0,3118,2020-05-02 14:20:17,Twitter for iPhone,3118,0,14,2020-05-02,Re-tweet,,
"RT @SexCounseling: @realDonaldTrump As far as I am concerned, it should be a 100% approval from all of the Republican party, whats wrong wi…",0,3214,2020-05-02 14:20:07,Twitter for iPhone,3214,0,14,2020-05-02,Re-tweet,,
"96% Approval Rating in the Republican Party. Thank you! Also, just out, highest ever Approval Rating overall in the new Gallup Poll, and shows “Trump beating Sleepy Joe Biden.”",123342,22718,2020-05-02 13:17:42,Twitter for iPhone,22718,123342,13,2020-05-02,Tweet,,
